raw_index,checklist_id,city,daypart,weather,canonical_filename,mapping_status,confidence,evidence,source_filename,source_part,sha256,repo_asset,source_archive_path
001,478,Kuala Lumpur,Night,Snow,478-kuala-lumpur-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-001__snowy_cityscape_with_towering_skyscrapers.png,1,8907af30bac14aed3653fcf9d87371874d9e68c01de00b2ef9c0151854407e1a,assets/city-backgrounds/v1/cities/kuala-lumpur/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/478--kuala-lumpur--night-snow/PRIMARY__raw-001__raw-001__snowy_cityscape_with_towering_skyscrapers.png
002,467,Berlin,Night,Snow,467-berlin-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-002__snowy_winter_city_at_night.png,1,51fb45a4503a419a54e3db7d03a1f7a896b9c5f2fbbac65b218d90a1a94a1649,assets/city-backgrounds/v1/cities/berlin/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/467--berlin--night-snow/PRIMARY__raw-002__raw-002__snowy_winter_city_at_night.png
003,446,Paris,Night,Snow,446-paris-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-003__snowy_cityscape_with_illuminated_architecture.png,1,358c32fdff4b4cb72f6aec2081f6b9d041c938314fae262ce325556df4d36b2b,assets/city-backgrounds/v1/cities/paris/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/446--paris--night-snow/PRIMARY__raw-003__raw-003__snowy_cityscape_with_illuminated_architecture.png
004,450,London,Night,Snow,450-london-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-004__snowy_nighttime_cityscape_with_river_reflections.png,1,cb74c4d7c79b3ed0903cbeaf7ae008901d1b1ed1c83d16c26890c2a4f1990d40,assets/city-backgrounds/v1/cities/london/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/450--london--night-snow/PRIMARY__raw-004__raw-004__snowy_nighttime_cityscape_with_river_reflections.png
005,475,Bangkok,Night,Snow,475-bangkok-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-005__snowy_cityscape_with_temple_and_skyline.png,1,79ec5d516f89319ca62b4b29ab13747bbc487b7e411d4039d38b519b6c863983,assets/city-backgrounds/v1/cities/bangkok/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/475--bangkok--night-snow/PRIMARY__raw-005__raw-005__snowy_cityscape_with_temple_and_skyline.png
006,480,Manila,Night,Snow,480-manila-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-006__snowy_cityscape_with_glowing_lights.png,1,20a0170d4bce6cb061e15e5f0fc051c2586e8e273111559fa5b526eb24f8369c,assets/city-backgrounds/v1/cities/manila/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/480--manila--night-snow/PRIMARY__raw-006__raw-006__snowy_cityscape_with_glowing_lights.png
007,473,Cape Town,Night,Snow,473-cape-town-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-007__snowy_cityscape_under_stormy_skies.png,1,a6e180522d1ba564e682598db5918d900a3d83270b020ff9ae4eb3addd6d9e9c,assets/city-backgrounds/v1/cities/cape-town/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/473--cape-town--night-snow/PRIMARY__raw-007__raw-007__snowy_cityscape_under_stormy_skies.png
008,453,Seoul,Night,Snow,453-seoul-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-008__snowy_city_skyline_at_night.png,1,763c9c0e9dade94f2dbbf23cba8507f2fc5ba3c889e5101758eca0770ae34de3,assets/city-backgrounds/v1/cities/seoul/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/453--seoul--night-snow/PRIMARY__raw-008__raw-008__snowy_city_skyline_at_night.png
009,469,Vienna,Night,Snow,469-vienna-night-snow.png,PRIMARY_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-009__snowy_winter_cityscape_with_cathedral_glow.png,1,9731c5ae27035eb17e4b16365e4b88f158a1659e044464bbeb81b252d50c9ba5,assets/city-backgrounds/v1/cities/vienna/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/469--vienna--night-snow/PRIMARY__raw-009__raw-009__snowy_winter_cityscape_with_cathedral_glow.png
010,468,Amsterdam,Night,Snow,468-amsterdam-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-010__snowy_canal_reflections_under_city_lights.png,1,23e9a151eee369d9f245e671d7210d507833befd53bfe0024c651622f4ef0526,assets/city-backgrounds/v1/cities/amsterdam/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/468--amsterdam--night-snow/PRIMARY__raw-010__raw-010__snowy_canal_reflections_under_city_lights.png
011,471,Istanbul,Night,Snow,471-istanbul-night-snow.png,PRIMARY_FOR_SLOT,HIGH,distinctive landmark/skyline visual match,raw-011__snowy_winter_cityscape_by_the_water.png,1,fcddf812ae92cf52fe43173927a96760f6bb9edbd70266f20b4be1b84836896d,assets/city-backgrounds/v1/cities/istanbul/night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/471--istanbul--night-snow/PRIMARY__raw-011__raw-011__snowy_winter_cityscape_by_the_water.png
012,469,Vienna,Night,Snow,469-vienna-night-snow.png,DUPLICATE_FOR_SLOT,LOW,best-fit visual match; generic or ambiguous skyline,raw-012__snowy_night_in_a_historic_city.png,1,4e733f08cfd7c6b83bc0f2bce457f3904b1c276983d0e3a7fe82438f6d1d9a7b,assets/city-backgrounds/v1/duplicates/469/raw-012--vienna--night-snow.webp,04-manually-mapped-candidates/by-checklist-slot/469--vienna--night-snow/DUPLICATE-01__raw-012__raw-012__snowy_night_in_a_historic_city.png
